French,English,German
détruire,destroy,zerstören
choisir,choose,wählen
ha,ha,ha
découvrir,discover,entdecken
idées,ideas,ideen
officier,officer,offizier
frères,brothers,brüder
sert,serve,aufschlag
bill,bill,rechnung
solution,solution,lösung
informations,information,information
attendais,expected,erwartet
monstre,monster,monster
sexy,sexy,sexy
ordinateur,computer,computer
retrouvé,found,gefunden
nature,nature,natur
rappeler,remind,erinnern
énergie,energy,energie
pierre,rock ,felsen 
utilise,used,gebraucht
pression,pressure,druck
chaussures,shoes,schuhe
faite,done ,erledigt 
histoires,stories,geschichten
sarah,sarah,sarah
marié,married,verheiratet
espace,space,raum
soient,be,sei
nick,nick,nick
portable,portable,tragbar
préparer,prepare,vorbereiten
nécessaire,necessary,notwendig
court,short,kurz
offrir,to offer,anbieten
will,will,wille
ai-je,have i got,habe ich bekommen
tony,tony,tony
envers,towards,in richtung
bain,bath,bad
charge,charge,aufladung
mary,mary,maria
harry,harry,harry
jim,jim,jim
ennemi,enemy,feind
arrivent,arrive,ankommen
immédiatement,immediately,sofort
finalement,ultimately,letzten endes
énorme,huge,riesig
grand-père,grandfather,großvater
test,test,prüfen
gagne,won,gewonnen
réfléchir,to reflect on,über nachdenken
victimes,victims,die opfer
chanter,sing,singen
futur,future,zukunft
lâche,coward,feigling
mademoiselle,miss ,vermissen 
copain,boyfriend,freund
enlever,to remove,zu entfernen
pensez-vous,do you think,denkst du
retrouve,found,gefunden
épouser,marry,heiraten
fleurs,flowers,blumen
salope,slut,schlampe
aies,aies,aies
gosse,kid,kind
arranger,arrange,arrangieren
riche,rich,reich
faits,facts,fakten
ancien,ancient,uralt
stop,stop,stoppen
accepter,accept,akzeptieren
restes,remains,überreste
nouveaux,new,neu
sauter,jump,springen
suspect,suspicious,verdächtig
vies,lives,leben
durant,during,während
invité,guest,gast
politique,policy,politik
dents,teeth,zähne
patient,patient,geduldig
repas,meal,mahlzeit
urgence,emergency,notfall
cartes,cards,karten
jambes,legs,beine
conversation,conversation,gespräch
telle,such,solch
bus,bus,bus
to,to,zu
tourner,turn,drehen
toucher,to touch,berühren
mémoire,memory,erinnerung
série,series,serie
mariée,bride,braut
contraire,opposite,gegenteil
vent,wind,wind
taille,size ,größe 
donnez-moi,give me,gib mir
trouves,found,gefunden
celui-là,that one,das hier
chat,cat,katze
continuez,continue,weitermachen
contrat,contract,vertrag
couteau,knife,messer
double,double,doppelt
dure,hard,hart
carrière,career,karriere
excuse-moi,excuse me,verzeihung
ray,ray,strahl
regardé,look at,ansehen
descendre,to come down,herunterkommen
université,university,universität
sentiments,feelings,gefühle
papier,paper,papier
remarqué,remark,anmerkung
noms,names,namen
vécu,lived,lebte
courage,courage,mut
beauté,beauty,schönheit
bu,drank,getrunken
tais-toi,shut up,den mund halten
après-midi,afternoon,nachmittag
excellent,excellent,exzellent
assieds-toi,sit down,hinsetzen
richard,richard,richard
propres,clean,sauber
parmi,among,unter
forte,strong,stark
étant,being,sein
couple,couple,paar
aiment,like,wie
permis,permit,erlauben
différence,difference,unterschied
faudrait,should,sollen
course,race,wettrennen
humains,humans,menschen
dégage,cleared,geräumt
mille,thousand,tausend
accès,access,zugang
cible,target,ziel
joyeux,happy,glücklich
bonheur,happiness,glück
aimait,loved,geliebt
manqué,lack,mangel
action,action,aktion
steve,steve,steve
aidé,help,helfen
vouliez,wanted,gesucht
trouvez,find,finden
films,movies,filme
emmène,take,nehmen
marie,married,verheiratet
taxi,taxi,taxi
restaurant,restaurant,restaurant
crise,crisis,krise
piste,track,schiene
dernières,latest,neueste
puisque,since,seit
